=== kubectl get events -n devops-app --sort-by=.metadata.creationTimestamp ===
LAST SEEN   TYPE      REASON                         OBJECT                                      MESSAGE
26m         Normal    ScalingReplicaSet              deployment/frontend-deployment              Scaled up replica set frontend-deployment-7bf9c644b from 0 to 1
31m         Normal    SuccessfulDelete               replicaset/backend-deployment-6f4d55f575    Deleted pod: backend-deployment-6f4d55f575-8gc4d
31m         Normal    SuccessfulCreate               replicaset/frontend-deployment-7bf9c644b    Created pod: frontend-deployment-7bf9c644b-m5tnx
31m         Normal    Killing                        pod/worker-deployment-7c8776696d-96dlm      Stopping container worker
31m         Normal    Scheduled                      pod/backend-deployment-b7d78c97f-g9pwr      Successfully assigned devops-app/backend-deployment-b7d78c97f-g9pwr to ip-10-0-3-158.ec2.internal
31m         Normal    SuccessfulDelete               replicaset/worker-deployment-7c8776696d     Deleted pod: worker-deployment-7c8776696d-96dlm
31m         Normal    SuccessfulCreate               replicaset/worker-deployment-fb6d89564      Created pod: worker-deployment-fb6d89564-t9t8v
31m         Normal    Scheduled                      pod/worker-deployment-fb6d89564-t9t8v       Successfully assigned devops-app/worker-deployment-fb6d89564-t9t8v to ip-10-0-2-240.ec2.internal
31m         Normal    Scheduled                      pod/frontend-deployment-7bf9c644b-m5tnx     Successfully assigned devops-app/frontend-deployment-7bf9c644b-m5tnx to ip-10-0-3-158.ec2.internal
26m         Normal    ScalingReplicaSet              deployment/worker-deployment                Scaled up replica set worker-deployment-fb6d89564 from 0 to 1
31m         Normal    SuccessfulCreate               replicaset/backend-deployment-b7d78c97f     Created pod: backend-deployment-b7d78c97f-g9pwr
31m         Normal    Pulling                        pod/frontend-deployment-7bf9c644b-m5tnx     Pulling image "957905603240.dkr.ecr.us-east-1.amazonaws.com/devops-frontend:71a42a0c"
31m         Normal    Pulling                        pod/backend-deployment-b7d78c97f-g9pwr      Pulling image "957905603240.dkr.ecr.us-east-1.amazonaws.com/devops-backend:71a42a0c"
31m         Normal    Pulling                        pod/worker-deployment-fb6d89564-t9t8v       Pulling image "957905603240.dkr.ecr.us-east-1.amazonaws.com/devops-worker:71a42a0c"
31m         Normal    Started                        pod/worker-deployment-fb6d89564-t9t8v       Started container worker
31m         Normal    Pulled                         pod/worker-deployment-fb6d89564-t9t8v       Successfully pulled image "957905603240.dkr.ecr.us-east-1.amazonaws.com/devops-worker:71a42a0c" in 1.52s (1.52s including waiting). Image size: 64067584 bytes.
31m         Normal    Created                        pod/worker-deployment-fb6d89564-t9t8v       Created container: worker
31m         Normal    Created                        pod/frontend-deployment-7bf9c644b-m5tnx     Created container: frontend
31m         Normal    Started                        pod/frontend-deployment-7bf9c644b-m5tnx     Started container frontend
31m         Normal    Pulled                         pod/frontend-deployment-7bf9c644b-m5tnx     Successfully pulled image "957905603240.dkr.ecr.us-east-1.amazonaws.com/devops-frontend:71a42a0c" in 451ms (451ms including waiting). Image size: 23054540 bytes.
31m         Normal    Started                        pod/backend-deployment-b7d78c97f-g9pwr      Started container backend
31m         Normal    Pulled                         pod/backend-deployment-b7d78c97f-g9pwr      Successfully pulled image "957905603240.dkr.ecr.us-east-1.amazonaws.com/devops-backend:71a42a0c" in 1.62s (1.62s including waiting). Image size: 66624790 bytes.
31m         Normal    Created                        pod/backend-deployment-b7d78c97f-g9pwr      Created container: backend
31m         Normal    SuccessfulCreate               replicaset/frontend-deployment-7bf9c644b    Created pod: frontend-deployment-7bf9c644b-rsb4l
31m         Normal    SuccessfulDelete               replicaset/frontend-deployment-54cddf9b6    Deleted pod: frontend-deployment-54cddf9b6-dmb99
31m         Normal    Killing                        pod/frontend-deployment-54cddf9b6-dmb99     Stopping container frontend
31m         Normal    ScalingReplicaSet              deployment/frontend-deployment              Scaled down replica set frontend-deployment-54cddf9b6 from 1 to 0
31m         Normal    Scheduled                      pod/frontend-deployment-7bf9c644b-rsb4l     Successfully assigned devops-app/frontend-deployment-7bf9c644b-rsb4l to ip-10-0-2-240.ec2.internal
26m         Normal    ScalingReplicaSet              deployment/frontend-deployment              Scaled up replica set frontend-deployment-7bf9c644b from 1 to 2
31m         Normal    Pulling                        pod/frontend-deployment-7bf9c644b-rsb4l     Pulling image "957905603240.dkr.ecr.us-east-1.amazonaws.com/devops-frontend:71a42a0c"
31m         Normal    Pulled                         pod/frontend-deployment-7bf9c644b-rsb4l     Successfully pulled image "957905603240.dkr.ecr.us-east-1.amazonaws.com/devops-frontend:71a42a0c" in 405ms (406ms including waiting). Image size: 23054540 bytes.
31m         Normal    Created                        pod/frontend-deployment-7bf9c644b-rsb4l     Created container: frontend
31m         Normal    Started                        pod/frontend-deployment-7bf9c644b-rsb4l     Started container frontend
31m         Normal    ScalingReplicaSet              deployment/backend-deployment               Scaled down replica set backend-deployment-6f4d55f575 from 1 to 0
26m         Normal    ScalingReplicaSet              deployment/backend-deployment               Scaled up replica set backend-deployment-b7d78c97f from 1 to 2
31m         Normal    SuccessfulCreate               replicaset/backend-deployment-b7d78c97f     Created pod: backend-deployment-b7d78c97f-wvjpv
31m         Normal    SuccessfulDelete               replicaset/backend-deployment-6f4d55f575    Deleted pod: backend-deployment-6f4d55f575-vk845
31m         Normal    Scheduled                      pod/backend-deployment-b7d78c97f-wvjpv      Successfully assigned devops-app/backend-deployment-b7d78c97f-wvjpv to ip-10-0-2-240.ec2.internal
31m         Normal    Killing                        pod/backend-deployment-6f4d55f575-vk845     Stopping container backend
31m         Normal    Pulling                        pod/backend-deployment-b7d78c97f-wvjpv      Pulling image "957905603240.dkr.ecr.us-east-1.amazonaws.com/devops-backend:71a42a0c"
31m         Normal    Started                        pod/backend-deployment-b7d78c97f-wvjpv      Started container backend
31m         Normal    Created                        pod/backend-deployment-b7d78c97f-wvjpv      Created container: backend
31m         Normal    Pulled                         pod/backend-deployment-b7d78c97f-wvjpv      Successfully pulled image "957905603240.dkr.ecr.us-east-1.amazonaws.com/devops-backend:71a42a0c" in 1.86s (1.86s including waiting). Image size: 66624790 bytes.
31m         Warning   Unhealthy                      pod/worker-deployment-7c8776696d-96dlm      Readiness probe errored and resulted in unknown state: rpc error: code = NotFound desc = failed to exec in container: failed to load task: no running task found: not found
27m         Normal    SuccessfulDelete               replicaset/frontend-deployment-7bf9c644b    Deleted pod: frontend-deployment-7bf9c644b-m5tnx
27m         Normal    ScalingReplicaSet              deployment/frontend-deployment              Scaled up replica set frontend-deployment-6c979f6484 from 0 to 1
27m         Normal    Scheduled                      pod/backend-deployment-5d65ff6fc-bwgvh      Successfully assigned devops-app/backend-deployment-5d65ff6fc-bwgvh to ip-10-0-3-158.ec2.internal
27m         Normal    SuccessfulCreate               replicaset/worker-deployment-8b4bdf878      Created pod: worker-deployment-8b4bdf878-42h97
27m         Normal    ScalingReplicaSet              deployment/worker-deployment                Scaled up replica set worker-deployment-8b4bdf878 from 0 to 1
27m         Normal    ScalingReplicaSet              deployment/backend-deployment               Scaled up replica set backend-deployment-5d65ff6fc from 0 to 1
27m         Normal    SuccessfulDelete               replicaset/backend-deployment-b7d78c97f     Deleted pod: backend-deployment-b7d78c97f-wvjpv
27m         Normal    SuccessfulDelete               replicaset/worker-deployment-fb6d89564      Deleted pod: worker-deployment-fb6d89564-t9t8v
27m         Normal    Killing                        pod/backend-deployment-b7d78c97f-wvjpv      Stopping container backend
27m         Normal    Killing                        pod/frontend-deployment-7bf9c644b-m5tnx     Stopping container frontend
27m         Normal    SuccessfulCreate               replicaset/backend-deployment-5d65ff6fc     Created pod: backend-deployment-5d65ff6fc-bwgvh
27m         Normal    Killing                        pod/worker-deployment-fb6d89564-t9t8v       Stopping container worker
27m         Normal    Scheduled                      pod/frontend-deployment-6c979f6484-rjl82    Successfully assigned devops-app/frontend-deployment-6c979f6484-rjl82 to ip-10-0-2-240.ec2.internal
27m         Normal    Scheduled                      pod/worker-deployment-8b4bdf878-42h97       Successfully assigned devops-app/worker-deployment-8b4bdf878-42h97 to ip-10-0-2-240.ec2.internal
14m         Normal    ScalingReplicaSet              deployment/backend-deployment               Scaled down replica set backend-deployment-b7d78c97f from 2 to 1
14m         Normal    ScalingReplicaSet              deployment/worker-deployment                Scaled down replica set worker-deployment-fb6d89564 from 1 to 0
14m         Normal    ScalingReplicaSet              deployment/frontend-deployment              Scaled down replica set frontend-deployment-7bf9c644b from 2 to 1
27m         Normal    SuccessfulCreate               replicaset/frontend-deployment-6c979f6484   Created pod: frontend-deployment-6c979f6484-rjl82
27m         Normal    Pulling                        pod/backend-deployment-5d65ff6fc-bwgvh      Pulling image "957905603240.dkr.ecr.us-east-1.amazonaws.com/devops-backend:75b0ee0e"
27m         Normal    Pulling                        pod/worker-deployment-8b4bdf878-42h97       Pulling image "957905603240.dkr.ecr.us-east-1.amazonaws.com/devops-worker:75b0ee0e"
27m         Normal    Pulling                        pod/frontend-deployment-6c979f6484-rjl82    Pulling image "957905603240.dkr.ecr.us-east-1.amazonaws.com/devops-frontend:75b0ee0e"
27m         Normal    Pulled                         pod/backend-deployment-5d65ff6fc-bwgvh      Successfully pulled image "957905603240.dkr.ecr.us-east-1.amazonaws.com/devops-backend:75b0ee0e" in 1.707s (1.707s including waiting). Image size: 66624867 bytes.
27m         Normal    Pulled                         pod/frontend-deployment-6c979f6484-rjl82    Successfully pulled image "957905603240.dkr.ecr.us-east-1.amazonaws.com/devops-frontend:75b0ee0e" in 413ms (413ms including waiting). Image size: 23054514 bytes.
27m         Normal    Started                        pod/frontend-deployment-6c979f6484-rjl82    Started container frontend
27m         Normal    Created                        pod/frontend-deployment-6c979f6484-rjl82    Created container: frontend
27m         Normal    Created                        pod/backend-deployment-5d65ff6fc-bwgvh      Created container: backend
27m         Normal    Started                        pod/worker-deployment-8b4bdf878-42h97       Started container worker
27m         Normal    Pulled                         pod/worker-deployment-8b4bdf878-42h97       Successfully pulled image "957905603240.dkr.ecr.us-east-1.amazonaws.com/devops-worker:75b0ee0e" in 1.592s (1.592s including waiting). Image size: 64066105 bytes.
27m         Normal    Started                        pod/backend-deployment-5d65ff6fc-bwgvh      Started container backend
27m         Normal    Created                        pod/worker-deployment-8b4bdf878-42h97       Created container: worker
27m         Normal    SuccessfulDelete               replicaset/backend-deployment-b7d78c97f     Deleted pod: backend-deployment-b7d78c97f-g9pwr
27m         Normal    SuccessfulCreate               replicaset/backend-deployment-5d65ff6fc     Created pod: backend-deployment-5d65ff6fc-q669v
27m         Normal    Scheduled                      pod/backend-deployment-5d65ff6fc-q669v      Successfully assigned devops-app/backend-deployment-5d65ff6fc-q669v to ip-10-0-2-240.ec2.internal
13m         Normal    ScalingReplicaSet              deployment/frontend-deployment              Scaled down replica set frontend-deployment-7bf9c644b from 1 to 0
27m         Normal    ScalingReplicaSet              deployment/frontend-deployment              Scaled up replica set frontend-deployment-6c979f6484 from 1 to 2
27m         Normal    Killing                        pod/frontend-deployment-7bf9c644b-rsb4l     Stopping container frontend
27m         Normal    ScalingReplicaSet              deployment/backend-deployment               Scaled up replica set backend-deployment-5d65ff6fc from 1 to 2
27m         Normal    Killing                        pod/backend-deployment-b7d78c97f-g9pwr      Stopping container backend
3m34s       Normal    ScalingReplicaSet              deployment/backend-deployment               Scaled down replica set backend-deployment-b7d78c97f from 1 to 0
27m         Normal    SuccessfulDelete               replicaset/frontend-deployment-7bf9c644b    Deleted pod: frontend-deployment-7bf9c644b-rsb4l
27m         Normal    Pulling                        pod/backend-deployment-5d65ff6fc-q669v      Pulling image "957905603240.dkr.ecr.us-east-1.amazonaws.com/devops-backend:75b0ee0e"
27m         Normal    Scheduled                      pod/frontend-deployment-6c979f6484-2hl5s    Successfully assigned devops-app/frontend-deployment-6c979f6484-2hl5s to ip-10-0-3-158.ec2.internal
27m         Normal    Pulling                        pod/frontend-deployment-6c979f6484-2hl5s    Pulling image "957905603240.dkr.ecr.us-east-1.amazonaws.com/devops-frontend:75b0ee0e"
27m         Normal    SuccessfulCreate               replicaset/frontend-deployment-6c979f6484   Created pod: frontend-deployment-6c979f6484-2hl5s
27m         Normal    Started                        pod/frontend-deployment-6c979f6484-2hl5s    Started container frontend
